Date,Time,City,Location,Latitude,Longitude,High_Accuracy,Direction,Type,Lanes_Blocked,Involved,Tweet,Source
2018-08-20,7:55 AM,Pasig City,ORTIGAS EMERALD,14.586343,121.061481,1,EB,VEHICULAR ACCIDENT,1.0,TAXI AND MC,MMDA ALERT: Vehicular accident at Ortigas Emerald EB  involving taxi and MC as of 7:55 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1031330201970532352
2018-08-20,8:42 AM,Mandaluyong,EDSA GUADIX,14.589432,121.057243,1,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1.0,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031346247745990656
2018-08-20,9:13 AM,Makati City,EDSA ROCKWELL,14.559818,121.04073700000001,1,SB,VEHICULAR ACCIDENT,1.0,SUV AND L300,MMDA ALERT: Vehicular accident at EDSA Rockwell SB  involving SUV and L300 as of 9:13 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031358966989615104
2018-08-20,8:42 AM,Mandaluyong,EDSA GUADIX,14.589432,121.057243,1,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1.0,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031359069653585920
2018-08-20,10:27 AM,San Juan,ORTIGAS CLUB FILIPINO,14.601845999999998,121.046754,1,EB,VEHICULAR ACCIDENT,1.0,2 CARS,MMDA ALERT: Vehicular accident at Ortigas Club Filipino EB  involving 2 Cars as of 10:27 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031371124842483712
2018-08-20,11:18 AM,Makati City,C5 KALAYAAN,14.556079,121.06293600000001,1,SB,VEHICULAR ON FIRE,1.0,BUS,MMDA ALERT: Vehicular on fire at C5 Kalayaan SB involving bus as of 11:18 AM. 1 lane occupied BFP on site. #mmda,https://twitter.com/mmda/status/1031385843796074496
2018-08-20,12:33 PM,Quezon City,EDSA ORTIGAS ROBINSONS,14.592514999999999,121.058225,1,NB,VEHICULAR ACCIDENT,1.0,CAR AND BUS,MMDA ALERT: Vehicular accident at EDSA Ortigas Robinsons NB  involving Car and bus as of 12:33 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031400304917368832
2018-08-20,12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,1,NB,MULTIPLE COLLISION,2.0,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031402505031151617
2018-08-20,12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,1,NB,MULTIPLE COLLISION,2.0,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031405794124738560
2018-08-20,2:51 PM,Quezon City,EDSA FARMERS,14.619717000000001,121.050978,1,NB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Farmers NB involving bus and car as of 2:51pm PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031435510793756673
